#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-90.5,96,157.206578
-90.5,96,157.347438
-90.5,96,157.456983
-90.5,96,157.61664
-90.5,96,157.774755
-90.5,96,157.91876
-90.5,96,158.050018
-90.5,96,158.161036
-90.5,96,158.271125
-90.5,96,158.381535
-90.5,96,158.482482
-90.5,96,158.589842
-90.5,96,158.693473
-90.5,96,158.7909
-90.5,96,158.936946
-90.5,96,159.040166
-90.5,96,160.171438
-90.5,96,160.283635
-90.5,96,160.393953
-97.0,31,160.426563
-90.5,96,160.528273
-90.5,96,160.660561
-90.5,96,160.772174
-90.5,96,160.874833
-89.8,103,160.983345
-90.5,96,161.089623
-90.5,96,161.193325
-90.5,96,161.304057
-90.5,96,161.410003
-90.5,96,161.514532
-90.5,96,161.623144
-90.5,96,161.734189
-90.5,96,161.851093
-90.5,96,161.954085
-90.5,96,162.059002
-90.5,96,162.161382
-93.1,70,162.244197
-90.5,96,162.359336
